scenario,operation_state,method,total_unserved_energy_kwh,maximum_unserved_power_kw,unserved_points,critical_demand_energy_kwh,critical_unserved_energy_kwh,critical_maximum_unserved_power_kw,critical_served_fraction,essential_demand_energy_kwh,essential_unserved_energy_kwh,essential_maximum_unserved_power_kw,essential_served_fraction,interruptible_demand_energy_kwh,interruptible_unserved_energy_kwh,interruptible_maximum_unserved_power_kw,interruptible_served_fraction
grid_derate_25pct,circulation,proportional-curtailment,134.61213291666667,211.39950000000016,835,3078.987770444445,94.22849304166664,147.9796500000001,0.9693962756376701,879.7107915555557,26.922426583333337,42.279900000000026,0.9693962756376701,439.85539577777786,13.461213291666668,21.139950000000013,0.9693962756376701
grid_derate_25pct,connection,proportional-curtailment,0.0,0.0,0,1086.3872651666666,0.0,0.0,1.0,362.12908838888893,0.0,0.0,1.0,362.12908838888893,0.0,0.0,1.0
grid_derate_25pct,drilling,proportional-curtailment,227.28221687500005,483.6688,700,25778.767550097222,125.00521928125006,266.01784,0.9951508457866218,14061.145936416664,68.1846650625,145.10064,0.9951508457866218,7030.572968208332,34.09233253125,72.55032,0.9951508457866218
grid_derate_25pct,idle,proportional-curtailment,0.0,0.0,0,249.6118389722222,0.0,0.0,1.0,71.3176682777778,0.0,0.0,1.0,35.6588341388889,0.0,0.0,1.0
grid_derate_25pct,maintenance,proportional-curtailment,0.0,0.0,0,577.505781611111,0.0,0.0,1.0,165.00165188888892,0.0,0.0,1.0,82.50082594444446,0.0,0.0,1.0
grid_derate_25pct,tripping,proportional-curtailment,68.20542975694444,575.9208749999999,221,4586.814192729166,44.3335293420139,374.34856874999997,0.9903345704710931,2116.991165875,20.461628927083332,172.77626249999997,0.9903345704710931,352.83186097916666,3.410271487847223,28.796043750000003,0.9903345704710931
grid_derate_25pct,circulation,priority-greedy,134.61213291666667,211.3995000000001,835,3078.987770444445,0.0,0.0,1.0,879.7107915555557,56.32358472916664,124.6057200000001,0.9359748848487217,439.85539577777786,78.2885481875,86.79378000000001,0.822012986679257
grid_derate_25pct,connection,priority-greedy,0.0,0.0,0,1086.3872651666666,0.0,0.0,1.0,362.12908838888893,0.0,0.0,1.0,362.12908838888893,0.0,0.0,1.0
grid_derate_25pct,drilling,priority-greedy,227.28221687500005,483.6687999999999,700,25778.767550097222,0.0,0.0,1.0,14061.145936416664,62.80571013888892,267.1184799999999,0.9955333860822659,7030.572968208332,164.4765067361111,216.55031999999997,0.9766055330796138
grid_derate_25pct,idle,priority-greedy,0.0,0.0,0,249.6118389722222,0.0,0.0,1.0,71.3176682777778,0.0,0.0,1.0,35.6588341388889,0.0,0.0,1.0
grid_derate_25pct,maintenance,priority-greedy,0.0,0.0,0,577.505781611111,0.0,0.0,1.0,165.00165188888892,0.0,0.0,1.0,82.50082594444446,0.0,0.0,1.0
grid_derate_25pct,tripping,priority-greedy,68.20542975694444,575.9208749999999,221,4586.814192729166,11.288734895833336,227.33988,0.997538872423974,2116.991165875,44.95671229166667,298.78371,0.9787638640083389,352.83186097916666,11.959982569444447,50.318795,0.9661028838601664
grid_derate_25pct,circulation,HiGHS-priority-LP,134.61213291666667,211.3995000000001,835,3078.987770444445,0.0,0.0,1.0,879.7107915555557,56.32358472916664,124.6057200000001,0.9359748848487217,439.85539577777786,78.2885481875,86.79378000000001,0.822012986679257
grid_derate_25pct,connection,HiGHS-priority-LP,0.0,0.0,0,1086.3872651666666,0.0,0.0,1.0,362.12908838888893,0.0,0.0,1.0,362.12908838888893,0.0,0.0,1.0
grid_derate_25pct,drilling,HiGHS-priority-LP,227.28221687500005,483.6687999999999,700,25778.767550097222,0.0,0.0,1.0,14061.145936416664,62.80571013888892,267.1184799999999,0.9955333860822659,7030.572968208332,164.47650673611113,216.55031999999997,0.9766055330796138
grid_derate_25pct,idle,HiGHS-priority-LP,0.0,0.0,0,249.6118389722222,0.0,0.0,1.0,71.3176682777778,0.0,0.0,1.0,35.6588341388889,0.0,0.0,1.0
